line_index,full_address,lat,lon
217,"2/17 Penelope Crescent, ARNDELL PARK, NSW 2148, Australia",-33.789955,150.874748
218,"500 PRINCESS HIGHWAY, WOONONA, NSW 2517, Australia",-34.3464315,150.903673
219,"BRIDGE STREET, TOORAWEENAN, NSW 2831, Australia",-31.4393417,148.9107454
220,"PO BOX 364, RIVERWOOD, NSW 2210, Australia",-33.94538,151.0534022
221,"UNIT 2, 488-490 PUNCHBOWL ROAD, LAKEMBA NSW, 2195",-33.9100645,151.0754607
222,"752 WOODVILLE ROAD, FAIRFIELD EAST, NSW 2165, Australia",-33.8741352,150.982149
223,"51 MARCH STREET, RICHMOND, NSW 2753, Australia",-33.5997133,150.753833
224,"2 SKYLINE WAY, GATESHEAD, NSW 2290, Australia",-32.987499,151.695724
225,"314 BOOROWA STREET, YOUNG, NSW 2594, Australia",-34.3103918,148.2857506
226,"UNIT 9, 2 DONALD STREET, GUILDFORD NSW, 2161",-33.8685502,150.9808799
227,"2091 CASTLEREAGH ROAD, PENRITH, NSW 2750, Australia",-33.7338482,150.6949315
228,"8 NORFOLK ROAD, CHULLORA, NSW 2190, Australia",-33.8958238,151.06732
229,"160 ARTHUR STREET, HOMEBUSH, NSW 2140, Australia",-33.8661599,151.0595993
230,"9 OLD BOURKE ROAD P.O BOX143, COBAR, NSW 2835, Australia",-31.4900726,145.8449523
231,"66 DONALD STREET, HAMILTON, NSW 2303, Australia",-32.9190328,151.7450307
232,"51 WINTON STREET, GOONDIWINDI, QLD 4390, Australia",-28.5409866,150.3079105
233,"15 Industry Drive, TWEED HEADS, NSW 2485, Australia",-28.2010167,153.5399364
234,"14 Oakdale Road, GATESHEAD, NSW 2290, Australia",-32.9893905,151.6944243
235,"2-4 BARRIER STREET, FYSHWICK, ACT 2609, Australia",-35.3306121,149.1776149
236,"8 BUSHELLS PLACE, WETHERILL PARK, NSW 2164, Australia",-33.8431252,150.891237
237,"11 TOWNSHEND STREET, PHILLIP, ACT 2606, Australia",-35.3512946,149.0880265
238,"69 MACQUARIE ROAD, SPRINGWOOD, NSW 2777, Australia",-33.6991173,150.5716158
239,"UNIT 1, 25 ELIZABETH STREET, WETHERILL PARK NSW, 2176",-33.8479279,150.899205
240,"255 MANN STREET, ARMIDALE, NSW 2350, Australia",-30.51538489999999,151.6464526
241,"60 SYDNEY STREET, MUSWELLBROOK, NSW 2333, Australia",-32.268831,150.8862431
